"","Country","Fertility Rate","Population","Country Code"
"187","Serbia","1.528","7331.9459999999999","SRB"
"188","Kosovo (under UNSC res. 1244)","1.522","1666.259","XKX"
"189","Norway","1.5029999999999999","5391.723","NOR"
"190","Liechtenstein","1.4950000000000001","38.883000000000003","LIE"
"191","Switzerland","1.4950000000000001","8670.7950000000001","CHE"
"192","Russian Federation","1.4930000000000001","145472.99400000001","RUS"
"193","Uruguay","1.4930000000000001","3429.902","URY"
"194","Belarus","1.4830000000000001","9606.4369999999999","BLR"
"195","Jersey","1.482","108.964","JEY"
"196","Austria","1.47","8914.4480000000003","AUT"
"197","Canada","1.4630000000000001","38019.178","CAN"
"198","United Arab Emirates","1.46","9327.0280000000002","ARE"
"199","Poland","1.4590000000000001","38378.767","POL"
"200","Guernsey","1.456","62.951999999999998","GGY"
"201","Croatia","1.452","4079.1","HRV"
"202","Cuba","1.4419999999999999","11292.16","CUB"
"203","Bhutan","1.413","775.00800000000004","BTN"
"204","Mauritius","1.41","1298.6949999999999","MUS"
"205","Saint Lucia","1.399","179.55099999999999","LCA"
"206","Albania","1.39","2861.567","ALB"
"207","Finland","1.389","5533.7209999999995","FIN"
"208","Bahamas","1.389","407.16399999999999","BHS"
"209","Luxembourg","1.3879999999999999","634.72","LUX"
"210","Greece","1.371","10481.118","GRC"
"211","North Macedonia","1.363","2108.1190000000001","MKD"
"212","Portugal","1.363","10297.984","PRT"
"213","Bermuda","1.363","64.134","BMU"
"214","Jamaica","1.3520000000000001","2826.3980000000001","JAM"
"215","Bosnia and Herzegovina","1.35","3295.8409999999999","BIH"
"216","Thailand","1.331","71561.955000000002","THA"
"217","Cyprus","1.321","1241.296","CYP"
"218","Japan","1.2969999999999999","124946.751","JPN"
"219","Puerto Rico","1.2929999999999999","3262.9110000000001","PRI"
"220","Italy","1.2829999999999999","59361.258999999998","ITA"
"221","Spain","1.278","47397.66","ESP"
"222","Anguilla","1.2729999999999999","15.675000000000001","AIA"
"223","Ukraine","1.2509999999999999","43728.639999999999","UKR"
"224","Cayman Islands","1.2190000000000001","67.879000000000005","CYM"
"225","Aruba","1.18","106.501","ABW"
"226","Malta","1.1779999999999999","521.12099999999998","MLT"
"227","China","1.1639999999999999","1425861.5430000001","CHN"
"228","San Marino","1.1299999999999999","33.822000000000003","SMR"
"229","Andorra","1.125","78.38","AND"
"230","China, Taiwan Province of China","1.1140000000000001","23842.032999999999","TWN"
"231","China, Macao SAR","1.0880000000000001","682.54700000000003","MAC"
"232","Singapore","1.024","5926.22","SGP"
"233","British Virgin Islands","1.0049999999999999","31.06","VGB"
"234","Saint Barthélemy","1.0049999999999999","10.768000000000001","BLM"
"235","Republic of Korea","0.88","51831.252999999997","KOR"
"236","China, Hong Kong SAR","0.745","7500.0079999999998","HKG"
"237","Holy See","...","0.51500000000000001","VAT"
