"X","Country","Fertility.Rate","Population","Country.Code"
115,"Georgia","2.081",3762.641,"GEO"
116,"Guadeloupe","2.052",396.185,"GLP"
117,"India","2.0310000000000001",1402807.867,"IND"
118,"Nepal","2.0289999999999999",29698.028,"NPL"
119,"Ecuador","2.0259999999999998",17690.028,"ECU"
120,"New Caledonia","2.0249999999999999",287.187,"NCL"
121,"Belize","2.0099999999999998",397.415,"BLZ"
122,"Grenada","2.004",124.167,"GRD"
123,"Sri Lanka","1.99",21746.997,"LKA"
124,"Bangladesh","1.9810000000000001",168414.908,"BGD"
125,"Greenland","1.976",56.119,"GRL"
126,"Wallis and Futuna","1.958",11.642,"WLF"
127,"Vietnam","1.944",97093.774,"VNM"
128,"Martinique","1.915",369.831,"MTQ"
129,"Cape Verde","1.8959999999999999",585.347,"CPV"
130,"Turkey","1.889",84459.174,"TUR"
131,"Argentina","1.885",45163.623,"ARG"
132,"Gibraltar","1.8480000000000001",32.714,"GIB"
133,"Mexico","1.8220000000000001",126386.142,"MEX"
134,"Bahrain","1.8109999999999999",1460.905,"BHR"
135,"North Korea","1.8089999999999999",25921.701,"PRK"
136,"Moldova","1.806",3074.67,"MDA"
137,"Malaysia","1.8029999999999999",33396.348,"MYS"
138,"El Salvador","1.8029999999999999",6304.54,"SLV"
139,"Qatar","1.8009999999999999",2692.14,"QAT"
140,"Saint Vincent","1.7969999999999999",104.553,"VCT"
141,"France","1.79",64502.346,"FRA"
142,"Brunei","1.778",443.557,"BRN"
143,"New Zealand","1.7729999999999999",5095.771,"NZL"
144,"Ireland","1.768",4967.164,"IRL"
145,"Romania","1.748",19394.347,"ROU"
146,"Iceland","1.7330000000000001",368.998,"ISL"
147,"Denmark","1.7190000000000001",5840.504,"DNK"
148,"Colombia","1.7170000000000001",51244.297,"COL"
149,"Czech Republic","1.6990000000000001",10523.996,"CZE"
150,"French Polynesia","1.6990000000000001",303.097,"PYF"
151,"Iran","1.6919999999999999",87590.223,"IRN"
152,"Maldives","1.6919999999999999",517.986,"MDV"
153,"Montenegro","1.6910000000000001",628.205,"MNE"
154,"Estonia","1.6759999999999999",1329.802,"EST"
155,"Sweden","1.67",10416.525,"SWE"
156,"Turks and Caicos Islands","1.669",44.699,"TCA"
157,"Azerbaijan","1.6639999999999999",10296.374,"AZE"
158,"USA","1.6619999999999999",336495.769,"USA"
159,"Bonaire, Sint Eustatius and Saba","1.6579999999999999",26.443,"BES"
160,"Curacao","1.651",189.973,"CUW"
